year,month,sales,profit
1900,1,1409283.5487,177593.7066
2014,1,4923.616,1267.1885
2014,2,3610.402,706.7725
2014,3,8048.773,-84.07769999999996
2014,4,16040.811000000002,2518.797
2014,5,9288.864,499.586
2014,6,17235.946,2452.4121999999998
2014,7,8827.575,1227.3581
2014,8,16852.684,3915.2810999999997
2014,9,32826.059,23.864700000000198
2014,10,7004.0869999999995,665.9843000000001
2014,11,32603.2822,3714.3941
2014,12,21644.5905,2084.2659000000003
2015,1,6528.3756,-1514.3520999999998
2015,2,4241.374,643.0469
2015,3,10057.0474,1238.5528
2015,4,8101.936,-402.65819999999997
2015,5,9681.454,1730.4982
2015,6,9047.742,696.5214
2015,7,10741.669,1553.9695
2015,8,10603.9792,1431.5976
2015,9,14351.49,2309.9047
2015,10,12066.0725,616.6975
2015,11,37379.294,7774.3929
2015,12,31413.051,3637.0024
2016,1,6836.848,1381.1119
2016,2,17039.14,4212.0387
2016,3,28157.205,3180.9227000000005
2016,4,15854.154999999999,586.3683
2016,5,14800.865,1912.8593
2016,6,16969.996,1701.6448
2016,7,13059.847,2095.0798
2016,8,8931.7085,874.2776
2016,9,41214.5446,5679.1839
2016,10,30056.249,10408.9974
2016,11,33052.1888,3733.344
2016,12,45517.106,8759.2683
2017,1,11076.975,-159.82890000000003
2017,2,7278.1,420.1956
2017,3,10997.742,2013.2234
2017,4,18896.3015,3491.3696
2017,5,19357.8208,1532.2476
2017,6,17888.356,2760.0132
2017,7,15992.807999999999,2720.6986
2017,8,14269.274,2823.965
2017,9,36850.914,4206.8074
2017,10,29834.083,3070.7276
2017,11,47347.784999999996,682.7486000000001
2017,12,43517.125,2009.0504
