order_id,order_date,ship_date,customer_id,product_id,region_id,sales,quantity,discount,profit,order_date_id,ship_date_id,segment,city_x,state_x,country_x,product_name,category,sub_category,region,country_y,state_y,city_y,date_id,date,year,month,quarter,day,day_name
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-BO-10001798,7,261.96,2,0.0,41.9136,1,584,Consumer,Henderson,Kentucky,United States,Bush Somerset Collection Bookcase,Furniture,Bookcases,South,United States,Kentucky,Henderson,1,2016-11-08,2016,11,4,8,Tuesday
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-CH-10000454,7,731.94,3,0.0,219.582,1,584,Consumer,Henderson,Kentucky,United States,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,South,United States,Kentucky,Henderson,1,2016-11-08,2016,11,4,8,Tuesday
CA-2016-138688,2016-06-12,1900-01-01,DV-13045,OFF-LA-10000240,8,14.62,2,0.0,6.8714,2,1238,Corporate,Memphis,Tennessee,United States,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,West,United States,California,Los Angeles,2,2016-06-12,2016,6,2,12,Sunday
CA-2016-161389,2016-12-05,2016-12-10,IM-15070,OFF-BI-10003656,8,407.976,3,0.2,132.5922,6,108,Consumer,Florence,Alabama,United States,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,West,United States,California,Los Angeles,6,2016-12-05,2016,12,4,5,Monday
US-2015-108966,2015-10-11,1900-01-01,SO-20335,FUR-TA-10000577,7,957.5775,5,0.45,-383.031,3,1238,Consumer,Greeley,Colorado,United States,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,South,United States,Kentucky,Henderson,3,2015-10-11,2015,10,4,11,Sunday
US-2015-108966,2015-10-11,1900-01-01,SO-20335,OFF-ST-10000760,7,22.368,2,0.2,2.5164,3,1238,Consumer,Greeley,Colorado,United States,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,South,United States,Kentucky,Henderson,3,2015-10-11,2015,10,4,11,Sunday
CA-2014-115812,2014-06-09,1900-01-01,BH-11710,FUR-FU-10001487,8,48.86,7,0.0,14.1694,4,1238,Consumer,Los Angeles,California,United States,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,West,United States,California,Los Angeles,4,2014-06-09,2014,6,2,9,Monday
CA-2014-115812,2014-06-09,1900-01-01,BH-11710,OFF-AR-10002833,8,7.28,4,0.0,1.9656,4,1238,Consumer,Los Angeles,California,United States,Newell 322,Office Supplies,Art,West,United States,California,Los Angeles,4,2014-06-09,2014,6,2,9,Monday
CA-2014-115812,2014-06-09,1900-01-01,BH-11710,TEC-PH-10002275,8,907.152,6,0.2,90.7152,4,1238,Consumer,Los Angeles,California,United States,Mitel 5320 IP Phone VoIP phone,Technology,Phones,West,United States,California,Los Angeles,4,2014-06-09,2014,6,2,9,Monday
CA-2014-115812,2014-06-09,1900-01-01,BH-11710,OFF-BI-10003910,8,18.504,3,0.2,5.7825,4,1238,Consumer,Los Angeles,California,United States,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,West,United States,California,Los Angeles,4,2014-06-09,2014,6,2,9,Monday
